"candidate_id","profile","label","fixture","run","issues_found","tp","fn","fp","precision","recall","f1","response_ms","error"
"quick-core","quick","Quick / Core","html-issues","0","5","5","2","0","1.0000","0.7143","0.8333","20208","false"
"quick-core","quick","Quick / Core","html-clean","0","0","0","0","0","1.0000","1.0000","1.0000","10439","false"
"quick-core","quick","Quick / Core","tsx-issues","0","4","4","2","0","1.0000","0.6667","0.8000","21021","false"
"quick-core","quick","Quick / Core","tsx-clean","0","0","0","0","0","1.0000","1.0000","1.0000","8857","false"
"quick-core","quick","Quick / Core","css-issues","0","4","4","0","0","1.0000","1.0000","1.0000","14219","false"
"quick-core","quick","Quick / Core","css-clean","0","0","0","0","0","1.0000","1.0000","1.0000","7952","false"
"quick-core","quick","Quick / Core","js-issues","0","4","4","0","0","1.0000","1.0000","1.0000","35011","false"
"quick-core","quick","Quick / Core","js-clean","0","3","0","0","3","0.0000","1.0000","0.0000","31578","false"
"quick-t02","quick","Quick / temp=0.2","html-issues","0","5","5","2","0","1.0000","0.7143","0.8333","18138","false"
"quick-t02","quick","Quick / temp=0.2","html-clean","0","0","0","0","0","1.0000","1.0000","1.0000","8736","false"
"quick-t02","quick","Quick / temp=0.2","tsx-issues","0","4","4","2","0","1.0000","0.6667","0.8000","31292","false"
"quick-t02","quick","Quick / temp=0.2","tsx-clean","0","0","0","0","0","1.0000","1.0000","1.0000","8959","false"
"quick-t02","quick","Quick / temp=0.2","css-issues","0","4","4","0","0","1.0000","1.0000","1.0000","19877","false"
"quick-t02","quick","Quick / temp=0.2","css-clean","0","0","0","0","0","1.0000","1.0000","1.0000","2211","false"
"quick-t02","quick","Quick / temp=0.2","js-issues","0","6","4","0","2","0.6667","1.0000","0.8000","40895","false"
"quick-t02","quick","Quick / temp=0.2","js-clean","0","1","0","0","1","0.0000","1.0000","0.0000","14041","false"
"quick-t04","quick","Quick / temp=0.4","html-issues","0","5","5","2","0","1.0000","0.7143","0.8333","17477","false"
"quick-t04","quick","Quick / temp=0.4","html-clean","0","0","0","0","0","1.0000","1.0000","1.0000","11595","false"
"quick-t04","quick","Quick / temp=0.4","tsx-issues","0","5","5","1","0","1.0000","0.8333","0.9091","21827","false"
"quick-t04","quick","Quick / temp=0.4","tsx-clean","0","0","0","0","0","1.0000","1.0000","1.0000","11013","false"
"quick-t04","quick","Quick / temp=0.4","css-issues","0","4","4","0","0","1.0000","1.0000","1.0000","23788","false"
"quick-t04","quick","Quick / temp=0.4","css-clean","0","0","0","0","0","1.0000","1.0000","1.0000","2512","false"
"quick-t04","quick","Quick / temp=0.4","js-issues","0","4","4","0","0","1.0000","1.0000","1.0000","32373","false"
"quick-t04","quick","Quick / temp=0.4","js-clean","0","3","0","0","3","0.0000","1.0000","0.0000","26859","false"
"quick-k100","quick","Quick / top_k=100","html-issues","0","5","5","2","0","1.0000","0.7143","0.8333","18377","false"
"quick-k100","quick","Quick / top_k=100","html-clean","0","0","0","0","0","1.0000","1.0000","1.0000","6904","false"
"quick-k100","quick","Quick / top_k=100","tsx-issues","0","4","4","2","0","1.0000","0.6667","0.8000","21388","false"
"quick-k100","quick","Quick / top_k=100","tsx-clean","0","0","0","0","0","1.0000","1.0000","1.0000","6581","false"
"quick-k100","quick","Quick / top_k=100","css-issues","0","4","4","0","0","1.0000","1.0000","1.0000","19874","false"
"quick-k100","quick","Quick / top_k=100","css-clean","0","0","0","0","0","1.0000","1.0000","1.0000","9478","false"
"quick-k100","quick","Quick / top_k=100","js-issues","0","5","4","0","1","0.8000","1.0000","0.8889","36154","false"
"quick-k100","quick","Quick / top_k=100","js-clean","0","3","0","0","3","0.0000","1.0000","0.0000","26705","false"
"quick-ctx16k","quick","Quick / ctx=16k","html-issues","0","6","6","1","0","1.0000","0.8571","0.9231","24565","false"
"quick-ctx16k","quick","Quick / ctx=16k","html-clean","0","0","0","0","0","1.0000","1.0000","1.0000","9834","false"
"quick-ctx16k","quick","Quick / ctx=16k","tsx-issues","0","4","4","2","0","1.0000","0.6667","0.8000","21403","false"
"quick-ctx16k","quick","Quick / ctx=16k","tsx-clean","0","0","0","0","0","1.0000","1.0000","1.0000","15135","false"
